terms,title,abstract,abstract_len,title_len
"['cs.LG', 'cs.AI', 'cs.RO']",Dream to Control: Learning Behaviors by Latent Imagination,"Learned world models summarize an agent's experience to facilitate learning
complex behaviors. While learning world models from high-dimensional sensory
inputs is becoming feasible through deep learning, there are many potential
ways for deriving behaviors from them. We present Dreamer, a reinforcement
learning agent that solves long-horizon tasks from images purely by latent
imagination. We efficiently learn behaviors by propagating analytic gradients
of learned state values back through trajectories imagined in the compact state
space of a learned world model. On 20 challenging visual control tasks, Dreamer
exceeds existing approaches in data-efficiency, computation time, and final
performance.",705,58
"['cs.LG', 'eess.SP', 'q-fin.MF', 'stat.ML']","Nonparametric Extrema Analysis in Time Series for Envelope Extraction, Peak Detection and Clustering","In this paper, we propose a nonparametric approach that can be used in
envelope extraction, peak-burst detection and clustering in time series. Our
problem formalization results in a naturally defined splitting/forking of the
time series. With a possibly hierarchical implementation, it can be used for
various applications in machine learning, signal processing and mathematical
finance. From an incoming input signal, our iterative procedure sequentially
creates two signals (one upper bounding and one lower bounding signal) by
minimizing the cumulative $L_1$ drift. We show that a solution can be
efficiently calculated by use of a Viterbi-like path tracking algorithm
together with an optimal elimination rule. We consider many interesting
settings, where our algorithm has near-linear time complexities.",809,100
"['cs.CV', 'cs.LG', 'stat.ML']",Training Effective Node Classifiers for Cascade Classification,"Cascade classifiers are widely used in real-time object detection. Different
from conventional classifiers that are designed for a low overall
classification error rate, a classifier in each node of the cascade is required
to achieve an extremely high detection rate and moderate false positive rate.
Although there are a few reported methods addressing this requirement in the
context of object detection, there is no principled feature selection method
that explicitly takes into account this asymmetric node learning objective. We
provide such an algorithm here. We show that a special case of the biased
minimax probability machine has the same formulation as the linear asymmetric
classifier (LAC) of Wu et al (2005). We then design a new boosting algorithm
that directly optimizes the cost function of LAC. The resulting
totally-corrective boosting algorithm is implemented by the column generation
technique in convex optimization. Experimental results on object detection
verify the effectiveness of the proposed boosting algorithm as a node
classifier in cascade object detection, and show performance better than that
of the current state-of-the-art.",1160,62
['cs.LG'],Causally-motivated Shortcut Removal Using Auxiliary Labels,"Robustness to certain forms of distribution shift is a key concern in many ML
applications. Often, robustness can be formulated as enforcing invariances to
particular interventions on the data generating process. Here, we study a
flexible, causally-motivated approach to enforcing such invariances, paying
special attention to shortcut learning, where a robust predictor can achieve
optimal i.i.d generalization in principle, but instead it relies on spurious
correlations or shortcuts in practice. Our approach uses auxiliary labels,
typically available at training time, to enforce conditional independences
between the latent factors that determine these labels. We show both
theoretically and empirically that causally-motivated regularization schemes
(a) lead to more robust estimators that generalize well under distribution
shift, and (b) have better finite sample efficiency compared to usual
regularization schemes, even in the absence of distribution shifts. Our
analysis highlights important theoretical properties of training techniques
commonly used in causal inference, fairness, and disentanglement literature.",1125,58
"['cs.CV', 'cs.CG', 'cs.LG']",Power-SLIC: Diagram-based superpixel generation,"Superpixel algorithms, which group pixels similar in color and other
low-level properties, are increasingly used for pre-processing in image
segmentation. Commonly important criteria for the computation of superpixels
are boundary adherence, speed, and regularity.
  Boundary adherence and regularity are typically contradictory goals. Most
recent algorithms have focused on improving boundary adherence. Motivated by
improving superpixel regularity, we propose a diagram-based superpixel
generation method called Power-SLIC.
  On the BSDS500 data set, Power-SLIC outperforms other state-of-the-art
algorithms in terms of compactness and boundary precision, and its boundary
adherence is the most robust against varying levels of Gaussian noise. In terms
of speed, Power-SLIC is competitive with SLIC.",801,47
['cs.CV'],SREdgeNet: Edge Enhanced Single Image Super Resolution using Dense Edge Detection Network and Feature Merge Network,"Deep learning based single image super-resolution (SR) methods have been
rapidly evolved over the past few years and have yielded state-of-the-art
performances over conventional methods. Since these methods usually minimized
l1 loss between the output SR image and the ground truth image, they yielded
very high peak signal-to-noise ratio (PSNR) that is inversely proportional to
these losses. Unfortunately, minimizing these losses inevitably lead to blurred
edges due to averaging of plausible solutions. Recently, SRGAN was proposed to
avoid this average effect by minimizing perceptual losses instead of l1 loss
and it yielded perceptually better SR images (or images with sharp edges) at
the price of lowering PSNR. In this paper, we propose SREdgeNet, edge enhanced
single image SR network, that was inspired by conventional SR theories so that
average effect could be avoided not by changing the loss, but by changing the
SR network property with the same l1 loss. Our SREdgeNet consists of 3
sequential deep neural network modules: the first module is any
state-of-the-art SR network and we selected a variant of EDSR. The second
module is any edge detection network taking the output of the first SR module
as an input and we propose DenseEdgeNet for this module. Lastly, the third
module is merging the outputs of the first and second modules to yield edge
enhanced SR image and we propose MergeNet for this module. Qualitatively, our
proposed method yielded images with sharp edges compared to other
state-of-the-art SR methods. Quantitatively, our SREdgeNet yielded
state-of-the-art performance in terms of structural similarity (SSIM) while
maintained comparable PSNR for x8 enlargement.",1700,115
"['stat.ML', 'cs.LG', 'cs.SI', 'math.PR']",Toward Universal Testing of Dynamic Network Models,"Numerous networks in the real world change over time, in the sense that nodes
and edges enter and leave the networks. Various dynamic random graph models
have been proposed to explain the macroscopic properties of these systems and
to provide a foundation for statistical inferences and predictions. It is of
interest to have a rigorous way to determine how well these models match
observed networks. We thus ask the following goodness of fit question: given a
sequence of observations/snapshots of a growing random graph, along with a
candidate model M, can we determine whether the snapshots came from M or from
some arbitrary alternative model that is well-separated from M in some natural
metric? We formulate this problem precisely and boil it down to goodness of fit
testing for graph-valued, infinite-state Markov processes and exhibit and
analyze a universal test based on non-stationary sampling for a natural class
of models.",935,50
"['cs.CV', 'cs.LG', 'stat.ML']",Semi-Supervised Semantic Image Segmentation with Self-correcting Networks,"Building a large image dataset with high-quality object masks for semantic
segmentation is costly and time consuming. In this paper, we introduce a
principled semi-supervised framework that only uses a small set of fully
supervised images (having semantic segmentation labels and box labels) and a
set of images with only object bounding box labels (we call it the weak set).
Our framework trains the primary segmentation model with the aid of an
ancillary model that generates initial segmentation labels for the weak set and
a self-correction module that improves the generated labels during training
using the increasingly accurate primary model. We introduce two variants of the
self-correction module using either linear or convolutional functions.
Experiments on the PASCAL VOC 2012 and Cityscape datasets show that our models
trained with a small fully supervised set perform similar to, or better than,
models trained with a large fully supervised set while requiring ~7x less
annotation effort.",1003,73
"['cs.CV', 'cs.LG']",VideoLightFormer: Lightweight Action Recognition using Transformers,"Efficient video action recognition remains a challenging problem. One large
model after another takes the place of the state-of-the-art on the Kinetics
dataset, but real-world efficiency evaluations are often lacking. In this work,
we fill this gap and investigate the use of transformers for efficient action
recognition. We propose a novel, lightweight action recognition architecture,
VideoLightFormer. In a factorized fashion, we carefully extend the 2D
convolutional Temporal Segment Network with transformers, while maintaining
spatial and temporal video structure throughout the entire model. Existing
methods often resort to one of the two extremes, where they either apply huge
transformers to video features, or minimal transformers on highly pooled video
features. Our method differs from them by keeping the transformer models small,
but leveraging full spatiotemporal feature structure. We evaluate
VideoLightFormer in a high-efficiency setting on the temporally-demanding
EPIC-KITCHENS-100 and Something-Something-V2 (SSV2) datasets and find that it
achieves a better mix of efficiency and accuracy than existing state-of-the-art
models, apart from the Temporal Shift Module on SSV2.",1197,67
"['cs.LG', 'stat.ML']",The Dilemma Between Dimensionality Reduction and Adversarial Robustness,"Recent work has shown the tremendous vulnerability to adversarial samples
that are nearly indistinguishable from benign data but are improperly
classified by the deep learning model. Some of the latest findings suggest the
existence of adversarial attacks may be an inherent weakness of these models as
a direct result of its sensitivity to well-generalizing features in high
dimensional data. We hypothesize that data transformations can influence this
vulnerability since a change in the data manifold directly determines the
adversary's ability to create these adversarial samples. To approach this
problem, we study the effect of dimensionality reduction through the lens of
adversarial robustness. This study raises awareness of the positive and
negative impacts of five commonly used data transformation techniques on
adversarial robustness. The evaluation shows how these techniques contribute to
an overall increased vulnerability where accuracy is only improved when the
dimensionality reduction technique approaches the data's optimal intrinsic
dimension. The conclusions drawn from this work contribute to understanding and
creating more resistant learning models.",1175,71
"['cs.CV', 'cs.LG']",Real-Time Panoptic Segmentation from Dense Detections,"Panoptic segmentation is a complex full scene parsing task requiring
simultaneous instance and semantic segmentation at high resolution. Current
state-of-the-art approaches cannot run in real-time, and simplifying these
architectures to improve efficiency severely degrades their accuracy. In this
paper, we propose a new single-shot panoptic segmentation network that
leverages dense detections and a global self-attention mechanism to operate in
real-time with performance approaching the state of the art. We introduce a
novel parameter-free mask construction method that substantially reduces
computational complexity by efficiently reusing information from the object
detection and semantic segmentation sub-tasks. The resulting network has a
simple data flow that does not require feature map re-sampling or clustering
post-processing, enabling significant hardware acceleration. Our experiments on
the Cityscapes and COCO benchmarks show that our network works at 30 FPS on
1024x2048 resolution, trading a 3% relative performance degradation from the
current state of the art for up to 440% faster inference.",1115,53
"['cs.LG', 'cs.AI']",Versatile Verification of Tree Ensembles,"Machine learned models often must abide by certain requirements (e.g.,
fairness or legal). This has spurred interested in developing approaches that
can provably verify whether a model satisfies certain properties. This paper
introduces a generic algorithm called Veritas that enables tackling multiple
different verification tasks for tree ensemble models like random forests (RFs)
and gradient boosting decision trees (GBDTs). This generality contrasts with
previous work, which has focused exclusively on either adversarial example
generation or robustness checking. Veritas formulates the verification task as
a generic optimization problem and introduces a novel search space
representation. Veritas offers two key advantages. First, it provides anytime
lower and upper bounds when the optimization problem cannot be solved exactly.
In contrast, many existing methods have focused on exact solutions and are thus
limited by the verification problem being NP-complete. Second, Veritas produces
full (bounded suboptimal) solutions that can be used to generate concrete
examples. We experimentally show that Veritas outperforms the previous state of
the art by (a) generating exact solutions more frequently, (b) producing
tighter bounds when (a) is not possible, and (c) offering orders of magnitude
speed ups. Subsequently, Veritas enables tackling more and larger real-world
verification scenarios.",1403,40
"['cs.LG', 'cs.AI', 'stat.ML']",Ellipsoidal Subspace Support Vector Data Description,"In this paper, we propose a novel method for transforming data into a
low-dimensional space optimized for one-class classification. The proposed
method iteratively transforms data into a new subspace optimized for
ellipsoidal encapsulation of target class data. We provide both linear and
non-linear formulations for the proposed method. The method takes into account
the covariance of the data in the subspace; hence, it yields a more generalized
solution as compared to Subspace Support Vector Data Description for a
hypersphere. We propose different regularization terms expressing the class
variance in the projected space. We compare the results with classic and
recently proposed one-class classification methods and achieve better results
in the majority of cases. The proposed method is also noticed to converge much
faster than recently proposed Subspace Support Vector Data Description.",896,52
['cs.LG'],Reframing demand forecasting: a two-fold approach for lumpy and intermittent demand,"Demand forecasting is a crucial component of demand management. While
shortening the forecasting horizon allows for more recent data and less
uncertainty, this frequently means lower data aggregation levels and a more
significant data sparsity. Sparse demand data usually results in lumpy or
intermittent demand patterns, which have sparse and irregular demand intervals.
Usual statistical and machine learning models fail to provide good forecasts in
such scenarios. Our research shows that competitive demand forecasts can be
obtained through two models: predicting the demand occurrence and estimating
the demand size. We analyze the usage of local and global machine learning
models for both cases and compare results against baseline methods. Finally, we
propose a novel evaluation criterion of lumpy and intermittent demand
forecasting models' performance. Our research shows that global classification
models are the best choice when predicting demand event occurrence. When
predicting demand sizes, we achieved the best results using Simple Exponential
Smoothing forecast. We tested our approach on real-world data consisting of 516
three-year-long time series corresponding to European automotive original
equipment manufacturers' daily demand.",1253,83
"['cs.CV', 'cs.AI', 'cs.LG', 'cs.NE', 'B.7.1; I.2.6']",Origami: A 803 GOp/s/W Convolutional Network Accelerator,"An ever increasing number of computer vision and image/video processing
challenges are being approached using deep convolutional neural networks,
obtaining state-of-the-art results in object recognition and detection,
semantic segmentation, action recognition, optical flow and superresolution.
Hardware acceleration of these algorithms is essential to adopt these
improvements in embedded and mobile computer vision systems. We present a new
architecture, design and implementation as well as the first reported silicon
measurements of such an accelerator, outperforming previous work in terms of
power-, area- and I/O-efficiency. The manufactured device provides up to 196
GOp/s on 3.09 mm^2 of silicon in UMC 65nm technology and can achieve a power
efficiency of 803 GOp/s/W. The massively reduced bandwidth requirements make it
the first architecture scalable to TOp/s performance.",885,56
"['cs.LG', 'cs.AI']",DQ-SGD: Dynamic Quantization in SGD for Communication-Efficient Distributed Learning,"Gradient quantization is an emerging technique in reducing communication
costs in distributed learning. Existing gradient quantization algorithms often
rely on engineering heuristics or empirical observations, lacking a systematic
approach to dynamically quantize gradients. This paper addresses this issue by
proposing a novel dynamically quantized SGD (DQ-SGD) framework, enabling us to
dynamically adjust the quantization scheme for each gradient descent step by
exploring the trade-off between communication cost and convergence error. We
derive an upper bound, tight in some cases, of the convergence error for a
restricted family of quantization schemes and loss functions. We design our
DQ-SGD algorithm via minimizing the communication cost under the convergence
error constraints. Finally, through extensive experiments on large-scale
natural language processing and computer vision tasks on AG-News, CIFAR-10, and
CIFAR-100 datasets, we demonstrate that our quantization scheme achieves better
tradeoffs between the communication cost and learning performance than other
state-of-the-art gradient quantization methods.",1128,84
"['cs.CV', 'cs.RO']",Beyond Single Stage Encoder-Decoder Networks: Deep Decoders for Semantic Image Segmentation,"Single encoder-decoder methodologies for semantic segmentation are reaching
their peak in terms of segmentation quality and efficiency per number of
layers. To address these limitations, we propose a new architecture based on a
decoder which uses a set of shallow networks for capturing more information
content. The new decoder has a new topology of skip connections, namely
backward and stacked residual connections. In order to further improve the
architecture we introduce a weight function which aims to re-balance classes to
increase the attention of the networks to under-represented objects. We carried
out an extensive set of experiments that yielded state-of-the-art results for
the CamVid, Gatech and Freiburg Forest datasets. Moreover, to further prove the
effectiveness of our decoder, we conducted a set of experiments studying the
impact of our decoder to state-of-the-art segmentation techniques.
Additionally, we present a set of experiments augmenting semantic segmentation
with optical flow information, showing that motion clues can boost pure image
based semantic segmentation approaches.",1109,91
"['cs.CV', 'cs.AI']",PaXNet: Dental Caries Detection in Panoramic X-ray using Ensemble Transfer Learning and Capsule Classifier,"Dental caries is one of the most chronic diseases involving the majority of
the population during their lifetime. Caries lesions are typically diagnosed by
radiologists relying only on their visual inspection to detect via dental
x-rays. In many cases, dental caries is hard to identify using x-rays and can
be misinterpreted as shadows due to different reasons such as low image
quality. Hence, developing a decision support system for caries detection has
been a topic of interest in recent years. Here, we propose an automatic
diagnosis system to detect dental caries in Panoramic images for the first
time, to the best of authors' knowledge. The proposed model benefits from
various pretrained deep learning models through transfer learning to extract
relevant features from x-rays and uses a capsule network to draw prediction
results. On a dataset of 470 Panoramic images used for features extraction,
including 240 labeled images for classification, our model achieved an accuracy
score of 86.05\% on the test set. The obtained score demonstrates acceptable
detection performance and an increase in caries detection speed, as long as the
challenges of using Panoramic x-rays of real patients are taken into account.
Among images with caries lesions in the test set, our model acquired recall
scores of 69.44\% and 90.52\% for mild and severe ones, confirming the fact
that severe caries spots are more straightforward to detect and efficient mild
caries detection needs a more robust and larger dataset. Considering the
novelty of current research study as using Panoramic images, this work is a
step towards developing a fully automated efficient decision support system to
assist domain experts.",1704,106
['cs.CV'],MVP-Net: Multi-view FPN with Position-aware Attention for Deep Universal Lesion Detection,"Universal lesion detection (ULD) on computed tomography (CT) images is an
important but underdeveloped problem. Recently, deep learning-based approaches
have been proposed for ULD, aiming to learn representative features from
annotated CT data. However, the hunger for data of deep learning models and the
scarcity of medical annotation hinders these approaches to advance further. In
this paper, we propose to incorporate domain knowledge in clinical practice
into the model design of universal lesion detectors. Specifically, as
radiologists tend to inspect multiple windows for an accurate diagnosis, we
explicitly model this process and propose a multi-view feature pyramid network
(FPN), where multi-view features are extracted from images rendered with varied
window widths and window levels; to effectively combine this multi-view
information, we further propose a position-aware attention module. With the
proposed model design, the data-hunger problem is relieved as the learning task
is made easier with the correctly induced clinical practice prior. We show
promising results with the proposed model, achieving an absolute gain of
$\mathbf{5.65\%}$ (in the sensitivity of FPs@4.0) over the previous
state-of-the-art on the NIH DeepLesion dataset.",1257,89
"['cs.LG', 'cs.AI']",Reinforcement Learning for Sparse-Reward Object-Interaction Tasks in a First-person Simulated 3D Environment,"First-person object-interaction tasks in high-fidelity, 3D, simulated
environments such as the AI2Thor virtual home-environment pose significant
sample-efficiency challenges for reinforcement learning (RL) agents learning
from sparse task rewards. To alleviate these challenges, prior work has
provided extensive supervision via a combination of reward-shaping,
ground-truth object-information, and expert demonstrations. In this work, we
show that one can learn object-interaction tasks from scratch without
supervision by learning an attentive object-model as an auxiliary task during
task learning with an object-centric relational RL agent. Our key insight is
that learning an object-model that incorporates object-attention into forward
prediction provides a dense learning signal for unsupervised representation
learning of both objects and their relationships. This, in turn, enables faster
policy learning for an object-centric relational RL agent. We demonstrate our
agent by introducing a set of challenging object-interaction tasks in the
AI2Thor environment where learning with our attentive object-model is key to
strong performance. Specifically, we compare our agent and relational RL agents
with alternative auxiliary tasks to a relational RL agent equipped with
ground-truth object-information, and show that learning with our object-model
best closes the performance gap in terms of both learning speed and maximum
success rate. Additionally, we find that incorporating object-attention into an
object-model's forward predictions is key to learning representations which
capture object-category and object-state.",1630,108
"['cs.LG', 'cs.AI', 'cs.MA', 'cs.RO']",Lane-Merging Using Policy-based Reinforcement Learning and Post-Optimization,"Many current behavior generation methods struggle to handle real-world
traffic situations as they do not scale well with complexity. However,
behaviors can be learned off-line using data-driven approaches. Especially,
reinforcement learning is promising as it implicitly learns how to behave
utilizing collected experiences. In this work, we combine policy-based
reinforcement learning with local optimization to foster and synthesize the
best of the two methodologies. The policy-based reinforcement learning
algorithm provides an initial solution and guiding reference for the
post-optimization. Therefore, the optimizer only has to compute a single
homotopy class, e.g.\ drive behind or in front of the other vehicle. By storing
the state-history during reinforcement learning, it can be used for constraint
checking and the optimizer can account for interactions. The post-optimization
additionally acts as a safety-layer and the novel method, thus, can be applied
in safety-critical applications. We evaluate the proposed method using
lane-change scenarios with a varying number of vehicles.",1096,76
"['cs.CV', 'cs.AI', 'cs.LG']",Transformers in Vision: A Survey,"Astounding results from Transformer models on natural language tasks have
intrigued the vision community to study their application to computer vision
problems. Among their salient benefits, Transformers enable modeling long
dependencies between input sequence elements and support parallel processing of
sequence as compared to recurrent networks e.g., Long short-term memory (LSTM).
Different from convolutional networks, Transformers require minimal inductive
biases for their design and are naturally suited as set-functions. Furthermore,
the straightforward design of Transformers allows processing multiple
modalities (e.g., images, videos, text and speech) using similar processing
blocks and demonstrates excellent scalability to very large capacity networks
and huge datasets. These strengths have led to exciting progress on a number of
vision tasks using Transformer networks. This survey aims to provide a
comprehensive overview of the Transformer models in the computer vision
discipline. We start with an introduction to fundamental concepts behind the
success of Transformers i.e., self-attention, large-scale pre-training, and
bidirectional encoding. We then cover extensive applications of transformers in
vision including popular recognition tasks (e.g., image classification, object
detection, action recognition, and segmentation), generative modeling,
multi-modal tasks (e.g., visual-question answering, visual reasoning, and
visual grounding), video processing (e.g., activity recognition, video
forecasting), low-level vision (e.g., image super-resolution, image
enhancement, and colorization) and 3D analysis (e.g., point cloud
classification and segmentation). We compare the respective advantages and
limitations of popular techniques both in terms of architectural design and
their experimental value. Finally, we provide an analysis on open research
directions and possible future works.",1915,32
"['cs.LG', 'stat.ML']",Temporally-Extended ε-Greedy Exploration,"Recent work on exploration in reinforcement learning (RL) has led to a series
of increasingly complex solutions to the problem. This increase in complexity
often comes at the expense of generality. Recent empirical studies suggest
that, when applied to a broader set of domains, some sophisticated exploration
methods are outperformed by simpler counterparts, such as {\epsilon}-greedy. In
this paper we propose an exploration algorithm that retains the simplicity of
{\epsilon}-greedy while reducing dithering. We build on a simple hypothesis:
the main limitation of {\epsilon}-greedy exploration is its lack of temporal
persistence, which limits its ability to escape local optima. We propose a
temporally extended form of {\epsilon}-greedy that simply repeats the sampled
action for a random duration. It turns out that, for many duration
distributions, this suffices to improve exploration on a large set of domains.
Interestingly, a class of distributions inspired by ecological models of animal
foraging behaviour yields particularly strong performance.",1059,40
